"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"fl_em_operacao";"SITUAÇÃO";"ATIVIDADE";"TIPOATIVIDADE";"ESTRUTURA BÁSICA";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"COMPLEMENTO";"TELEFONE";"EMAIL_INSTITUCIONAL";"EMAIL_COMERCIAL";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CNAE";"SEGMENTOS TURISTICOS";"LINGUAS";"UH";"UHs ACESSÍVEIS";"TOTAL DE LEITOS"
TECHNOTEL ASSOCIADOS EIRELI;TECHNOTEL ASSOCIADOS EIREI;"00034542000185";Empresa Individual de Responsabilidade Limitada (de Natureza Simples);1994-11-25;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"11055250";SP;Santos;Gonzaga;Jorge Tibiriçá;;(13)2101-6111;comercial@flathotelaria.com.br;comercial@flathotelaria.com.br;;"17/01/2018";"17/01/2020";"00034542000185";"5510801 - HOTÉIS";; Inglês;72;2;216
MARCIO ANTONIO HORA MEDRADO;POUSADA SANTO ANTONIO;"00067368000177";Empresário (Individual);1994-05-16;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"46750000";BA;Mucugê;;Sem Logradouro;;(75)3338-2118;pousadasantoantonio@pop.com.br;pousadasantoantonio@pop.com.br;;"04/12/2017";"04/12/2019";"00067368000177";"5510801 - HOTÉIS";;;15;0;35
ROMA HOTEIS E REALIZACOES LTDA;DIROMA RIO QUENTE;"00071556000330";Sociedade Empresária Limitada;2004-01-26;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"75695000";GO;Rio Quente;;Sem Logradouro;;(64)3452-1610;RESERVAS@DIROMA.COM.BR;RESERVAS@DIROMA.COM.BR;WWW.DIROMA.COM.BR;"15/02/2018";"15/02/2020";"00071556000330";"5510801 - HOTÉIS";;;240;0;675
CASUARINAS HOTEIS E TURISMO LIMITADA;HOTEL POUSADA CASUARINAS;"00196704000181";Sociedade Empresária Limitada;1994-09-19;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"51011510";PE;Recife;Pina;Antônio Pedro de Figueiredo;"151";(81)3325-4708;reservas@pousadacasuarinas.com.br;reservas@pousadacasuarinas.com.br;www.pousadacasuarinas.com;"26/03/2018";"26/03/2020";"00196704000181";"5590603 - PENSÕES (ALOJAMENTO)";;;15;0;33
ANTONIA S DE SANTANA;HOTEL ITATIAIA;"00274326000107";Empresário (Individual);1994-11-03;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"65046660";MA;São Luís;Anil;Avenida Santos Dumont;;(98)3245-5040;atendimento@hotelitatiaiaslz.com.br;atendimento@hotelitatiaiaslz.com.br;http://www.hotelitatiaiaslz.com.br;"03/03/2018";"03/03/2020";"00274326000107";"5510801 - HOTÉIS";;;20;0;61
KOCHHANN SCHWENGBER & CIA LTDA;HOTEL PALMAS EXECUTIVO;"00301517000110";Sociedade Empresária Limitada;1994-11-16;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"88339025";SC;Balneário Camboriú;Estados;São Paulo;;(47)2125-7385;financeiro@palmasexecutivo.com.br;financeiro@palmasexecutivo.com.br;www.palmasexecutivo.com.br;"28/02/2018";"28/02/2020";"00301517000110";"5510801 - HOTÉIS";; Alemão | Espanhol | Inglês;60;5;172
HOTEL FAZENDA BAHIA DAS PEDRAS LTDA;HOTEL FAZENDA BAHIA DAS PEDRAS;"00310961000100";Sociedade Empresária Limitada;1983-08-15;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78175000";MT;Poconé;;Sem Logradouro;;(65)9961-2532;marciagaiva1@gmail.com;marciagaiva1@gmail.com;;"19/01/2018";"19/01/2020";"00310961000100";"5510801 - HOTÉIS";;;20;0;20
HOTEL ALPENHOF LTDA;HOTEL ALPENHOF;"00315446000105";Sociedade Empresária Limitada;1994-11-23;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"95670000";RS;Gramado;;Sem Logradouro;;(54)3286-2055;contato@alpenhof.com.br;contato@alpenhof.com.br;www.alpenhof.com.br;"26/01/2018";"26/01/2020";"00315446000105";"5510801 - HOTÉIS";; Espanhol;28;1;70
TARUMA EMPREENDIMENTOS TURISTICOS EIRELI;TARUMÃ POUSADA;"00323185000175";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);1994-11-30;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"45930000";BA;Mucuri;;Sem Logradouro;;(73)3206-1534;reservas@pousadataruma.com.br;reservas@pousadataruma.com.br;WWW.POUSADATARUMA.COM.BR;"21/03/2017";"21/03/2019";"00323185000175";"5510801 - HOTÉIS";; Inglês;39;1;93
HOTEL BEIRA MAR ITAPEMA LTDA;HOTEL BEIRA MAR ITAPEMA LTDA - EPP;"00330863000127";Sociedade Empresária Limitada;1994-12-05;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"88220000";SC;Itapema;;Sem Logradouro;;(47)3368-4011;hotel@beiramaritapema.com.br;hotel@beiramaritapema.com.br;www.beiramaritapema.com.br;"08/01/2018";"08/01/2020";"00330863000127";"5510801 - HOTÉIS";; Espanhol | Inglês;89;0;230
HOTEL POUSADA OGUM MARINHO E SERVICOS LTDA;POUSADA OGUM MARINHO;"00357291000170";Sociedade Empresária Limitada;1994-12-20;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"48280000";BA;Mata de São João;;Sem Logradouro;;(71)3676-1165;atendimento@ogummarinho.com.br;atendimento@ogummarinho.com.br;www.ogummarinho.com.br;"07/06/2017";"07/06/2019";"00357291000170";"5510801 - HOTÉIS";; Espanhol | Inglês | Italiano;20;1;90
JIHAD MOHAMAD SALEH ABOULHOSN;NOBRE PALACE HOTEL;"00375948000121";Empresário (Individual);1994-12-28;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"39800127";MG;Teófilo Otoni;Centro;Francisco Sá;;(33)3521-5824;;;;"08/03/2018";"08/03/2020";"00375948000121";"5510801 - HOTÉIS";; Espanhol | Inglês | Italiano;115;35;398
ROGERIO SOUZA DE ABREU & CIA LTDA;ROGERIO SOUZA DE ABREU E CIA LTDA ME;"00431366000115";Sociedade Empresária Limitada;1995-02-08;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"48608901";BA;Paulo Afonso;;Sem Logradouro;;(75)3281-5528;pousaenergia@bol.com.br;pousaenergia@bol.com.br;www.pousadaenergia.com.br;"10/07/2017";"10/07/2019";"00431366000115";"5510801 - HOTÉIS";;;33;0;49
TAWFIQ'S PALACE HOTEL LTDA;TAWFIQ´S PALACE HOTEL;"00459290000136";Sociedade Empresária Limitada;1995-02-23;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78600000";MT;Barra do Garças;;Sem Logradouro;;(66)3401-1718;tawfiqs@tawfiqshotel.com.br;tawfiqs@tawfiqshotel.com.br;;"13/07/2017";"13/07/2019";"00459290000136";"5510801 - HOTÉIS";; Espanhol | Inglês;35;0;71
PONTES COMERCIO DE ALIMENTOS EIRELI;POUSADA PONTES;"00464259000193";Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);1995-02-22;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"69735000";AM;Presidente Figueiredo;;Sem Logradouro;;(92)3324-1229;PONTESEMPRENDIMENTOS@HOTMAIL.COM;PONTESEMPRENDIMENTOS@HOTMAIL.COM;;"30/01/2018";"30/01/2020";"00464259000193";"5510801 - HOTÉIS";; Espanhol;15;0;40
EDUARDO JORGE HIAL;POUSADA RECANTO DO SOL ;"00464665000156";Empresário (Individual);1995-02-07;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"15400000";SP;Olímpia;;Sem Logradouro;;(17)3279-4427;recantodosololimpia@hotmail.com;recantodosololimpia@hotmail.com;;"21/02/2018";"21/02/2020";"00464665000156";"5510801 - HOTÉIS";;;6;0;24
